freq;indic_de;geo\TIME_PERIOD,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 
A;GROWRT;CZ05,2.9 ,6.1 ,6.2 ,1.7 ,1.5 ,0.1 ,-0.6 ,-1.0 ,0.2 ,0.3 ,0.9 ,1.5 
A;GROWRT;CZ06,2.2 ,6.5 ,5.5 ,3.1 ,2.3 ,1.4 ,1.0 ,0.3 ,1.5 ,1.0 ,1.9 ,2.6 
A;GROWRT;CZ07,0.0 ,2.1 ,0.7 ,-0.4 ,-0.7 ,-1.2 ,-1.9 ,-2.2 ,-1.4 ,-1.3 ,-1.5 ,-1.1 
A;GROWRT;CZ08,-2.0 ,-0.2 ,-0.3 ,-2.8 ,-3.6 ,-3.3 ,-3.3 ,-3.9 ,-3.4 ,-3.6 ,-2.8 ,-3.3 
A;GROWRT;DE11,-0.5 ,0.4 ,-0.2 ,-1.4 ,0.4 ,3.6 ,5.8 ,6.4 ,8.9 ,15.2 ,7.0 ,6.9 
A;GROWRT;DE12,0.7 ,1.8 ,0.3 ,0.1 ,1.4 ,3.0 ,5.6 ,6.0 ,6.8 ,14.8 ,6.3 ,5.9 
A;GROWRT;DE13,1.1 ,1.5 ,-0.3 ,0.2 ,1.4 ,3.8 ,5.3 ,5.6 ,7.8 ,14.9 ,6.8 ,6.6 
A;GROWRT;DE14,0.4 ,0.6 ,0.2 ,0.1 ,0.2 ,2.0 ,4.3 ,4.7 ,8.1 ,15.5 ,6.0 ,6.4 
A;GROWRT;DE21,9.6 ,8.0 ,5.0 ,2.6 ,8.2 ,11.3 ,12.0 ,12.1 ,11.3 ,15.1 ,9.6 ,3.5 
A;GROWRT;DE22,-2.6 ,0.3 ,-1.9 ,-2.3 ,0.2 ,2.9 ,4.7 ,6.5 ,7.0 ,12.1 ,6.0 ,8.7 
A;GROWRT;DE23,-1.5 ,-1.2 ,-2.7 ,-2.2 ,-0.3 ,0.6 ,2.5 ,3.0 ,4.4 ,8.8 ,5.5 ,5.5 
A;GROWRT;DE24,-6.3 ,-5.2 ,-5.8 ,-5.7 ,-4.7 ,-3.5 ,-2.7 ,-2.2 ,-0.4 ,3.2 ,2.9 ,4.2 
A;GROWRT;DE25,0.2 ,0.9 ,-1.0 ,-1.3 ,0.8 ,5.1 ,6.0 ,5.2 ,4.6 ,13.6 ,6.5 ,5.5 
A;GROWRT;DE26,-2.7 ,-2.3 ,-5.5 ,-4.2 ,-2.9 ,-2.4 ,-1.0 ,0.2 ,0.7 ,5.5 ,2.4 ,3.2 
A;GROWRT;DE27,-1.2 ,0.9 ,-1.0 ,-1.0 ,0.1 ,2.7 ,5.4 ,7.4 ,8.4 ,13.5 ,6.5 ,8.2 
A;GROWRT;DE30,2.6 ,3.6 ,4.5 ,3.2 ,5.2 ,14.4 ,14.7 ,13.7 ,13.9 ,14.4 ,15.4 ,10.8 
A;GROWRT;DE40,-4.6 ,-4.7 ,-5.2 ,-4.4 ,-3.3 ,-3.3 ,-1.5 ,-0.1 ,3.5 ,10.9 ,3.9 ,3.8 
A;GROWRT;DE50,0.8 ,-1.4 ,-1.8 ,-0.2 ,-1.5 ,1.1 ,4.0 ,4.0 ,6.8 ,14.4 ,10.8 ,3.4 
A;GROWRT;DE60,6.0 ,9.3 ,0.8 ,1.2 ,6.9 ,7.3 ,9.3 ,6.9 ,9.4 ,13.9 ,12.8 ,11.1 
A;GROWRT;DE71,-1.4 ,1.9 ,1.2 ,2.2 ,3.3 ,7.8 ,7.4 ,8.2 ,10.8 ,15.0 ,7.3 ,6.8 
A;GROWRT;DE72,-3.6 ,-4.1 ,-4.4 ,-4.2 ,-2.9 ,-1.6 ,-2.2 ,-0.1 ,5.7 ,10.7 ,3.4 ,2.1 
A;GROWRT;DE73,-6.4 ,-4.7 ,-6.1 ,-5.5 ,-3.7 ,-2.8 ,-2.3 ,-1.7 ,1.0 ,10.5 ,3.7 ,1.0 
A;GROWRT;DE80,-7.9 ,-8.3 ,-9.2 ,-7.9 ,-5.4 ,-4.9 ,-4.1 ,-2.4 ,1.6 ,8.2 ,-1.0 ,0.3 
A;GROWRT;DE91,-5.3 ,-5.2 ,-5.9 ,-4.3 ,-4.6 ,-2.3 ,-0.9 ,0.3 ,3.1 ,11.6 ,-1.6 ,0.1 
A;GROWRT;DE92,-1.7 ,-1.6 ,-3.6 ,-3.1 ,-1.7 ,-0.2 ,0.7 ,2.0 ,4.4 ,11.3 ,3.6 ,1.9 
A;GROWRT;DE93,-0.7 ,-1.1 ,-2.6 ,-1.8 ,-0.8 ,-1.7 ,0.1 ,1.7 ,4.5 ,13.2 ,2.3 ,1.5 
A;GROWRT;DE94,0.9 ,1.1 ,-1.1 ,-0.7 ,0.8 ,1.0 ,1.8 ,1.7 ,5.9 ,14.3 ,4.0 ,4.1 
A;GROWRT;DEA1,-1.8 ,-1.7 ,-3.3 ,-3.5 ,-2.1 ,-0.8 ,0.8 ,1.5 ,3.8 ,12.7 ,3.3 ,1.5 
A;GROWRT;DEA2,1.4 ,1.5 ,-1.1 ,-0.7 ,2.2 ,3.8 ,3.9 ,4.0 ,6.6 ,13.8 ,3.8 ,3.3 
A;GROWRT;DEA3,-1.2 ,-1.9 ,-3.4 ,-3.0 ,-1.3 ,1.5 ,0.1 ,0.7 ,2.5 ,12.9 ,2.0 ,0.7 
A;GROWRT;DEA4,-2.1 ,-3.0 ,-4.2 ,-3.6 ,-2.4 ,-2.1 ,-0.8 ,-0.5 ,2.6 ,13.9 ,-1.8 ,0.1 
A;GROWRT;DEA5,-4.9 ,-4.9 ,-6.5 ,-6.4 ,-4.9 ,-3.3 ,-2.8 ,-2.2 ,1.7 ,11.0 ,-3.1 ,-0.8 
A;GROWRT;DEB1,-5.0 ,-4.0 ,-5.6 ,-5.8 ,-4.8 ,-4.0 ,-2.7 ,-1.3 ,1.9 ,7.5 ,2.6 ,0.6 
A;GROWRT;DEB2,4.8 ,0.3 ,-1.3 ,-3.0 ,-1.1 ,-0.4 ,-0.2 ,1.6 ,5.2 ,20.6 ,-7.5 ,1.6 
A;GROWRT;DEB3,-0.4 ,-0.7 ,-4.1 ,-2.7 ,-0.6 ,1.0 ,2.1 ,2.6 ,5.8 ,9.5 ,6.6 ,2.9 
A;GROWRT;DEC0,-6.8 ,-6.3 ,-6.1 ,-7.5 ,-4.9 ,-4.0 ,-3.6 ,-3.6 ,-1.7 ,6.6 ,1.1 ,-2.5 
A;GROWRT;DED2,-3.2 ,-6.3 ,-5.2 ,-4.1 ,-2.8 ,-1.8 ,-0.2 ,-0.2 ,1.2 ,6.3 ,-1.6 ,-1.0 
A;GROWRT;DED4,: ,: ,: ,: ,: ,-9.2 ,-7.6 ,-7.6 ,-3.8 ,1.6 ,-7.9 ,-6.3 
A;GROWRT;DED5,: ,: ,: ,: ,: ,4.7 ,7.8 ,8.0 ,12.8 ,17.2 ,10.8 ,10.0 
A;GROWRT;DEE0,-11.4 ,-12.1 ,-12.8 ,-10.8 ,-9.0 ,-9.0 ,-7.6 ,-6.6 ,-4.0 ,4.4 ,-4.1 ,-5.9 
A;GROWRT;DEF0,0.5 ,1.1 ,-1.1 ,-0.8 ,0.8 ,0.8 ,1.5 ,3.4 ,5.3 ,9.8 ,8.1 ,2.7 
A;GROWRT;DEG0,-10.1 ,-9.5 ,-9.4 ,-7.9 ,-6.6 ,-6.3 ,-5.1 ,-4.4 ,-1.9 ,6.4 ,-5.8 ,-3.2 
A;GROWRT;DK01,: ,5.5 ,10.0 ,10.8 ,11.3 ,8.9 ,10.1 ,10.0 ,10.6 ,11.8 ,10.1 ,8.4 
A;GROWRT;DK02,: ,4.0 ,2.2 ,-0.8 ,-1.0 ,-2.3 ,-1.9 ,0.4 ,4.6 ,8.5 ,6.1 ,3.0 
A;GROWRT;DK03,: ,4.1 ,4.2 ,0.5 ,0.3 ,0.6 ,0.1 ,0.9 ,2.7 ,5.0 ,4.5 ,2.9 
A;GROWRT;DK04,: ,7.8 ,8.6 ,5.0 ,5.6 ,4.5 ,4.6 ,3.9 ,4.1 ,8.2 ,8.4 ,7.1 
A;GROWRT;DK05,: ,3.2 ,2.9 ,-1.5 ,0.3 ,0.3 ,0.5 ,1.4 ,2.7 ,4.9 ,3.1 ,3.1 
A;GROWRT;EE00,-5.8 ,-3.3 ,-2.0 ,-1.8 ,-2.7 ,-3.3 ,-3.8 ,-3.3 ,-1.9 ,0.8 b,-0.2 ,2.7 
A;GROWRT;EL30,2.8 ,2.0 ,2.2 ,0.9 ,-2.5 ,-7.3 ,-13.0 ,-12.6 ,-10.6 ,-10.9 ,-2.0 ,-4.5 
A;GROWRT;EL41,-5.0 ,2.4 ,4.2 ,3.3 ,3.3 ,-1.2 ,-5.6 ,-4.5 ,-4.5 ,-5.3 ,35.2 ,35.9 
A;GROWRT;EL42,8.5 ,6.3 ,6.9 ,2.5 ,4.0 ,2.4 ,-0.4 ,0.4 ,0.2 ,-0.2 ,10.7 ,7.3 
A;GROWRT;EL43,7.1 ,6.8 ,8.4 ,7.7 ,6.4 ,3.5 ,1.1 ,1.3 ,1.0 ,0.5 ,1.4 ,1.3 
A;GROWRT;EL51,4.9 ,4.0 ,5.3 ,2.4 ,2.4 ,0.8 ,-3.2 ,-3.1 ,-2.8 ,-3.3 ,-2.8 ,-2.7 
A;GROWRT;EL52,4.7 ,3.5 ,4.2 ,4.1 ,1.8 ,-1.5 ,-5.2 ,-4.9 ,-5.0 ,-5.6 ,-1.7 ,-2.2 
A;GROWRT;EL53,-1.3 ,-0.6 ,-0.1 ,-0.8 ,-1.9 ,-6.4 ,-9.7 ,-9.3 ,-8.2 ,-9.4 ,-8.6 ,-8.4 
A;GROWRT;EL54,2.5 ,1.8 ,2.2 ,2.3 ,1.6 ,-3.1 ,-6.7 ,-6.1 ,-5.6 ,-6.8 ,-4.7 ,-2.7 
A;GROWRT;EL61,1.9 ,1.0 ,2.2 ,1.9 ,1.0 ,-2.5 ,-5.7 ,-5.3 ,-5.5 ,-5.8 ,-4.9 ,-5.3 
A;GROWRT;EL62,2.2 ,1.7 ,3.1 ,2.5 ,2.6 ,-0.4 ,-4.3 ,-2.8 ,-2.9 ,-4.4 ,-3.5 ,-4.2 
A;GROWRT;EL63,-1.7 ,-1.9 ,-0.8 ,-1.0 ,-2.0 ,-4.3 ,-7.8 ,-7.1 ,-6.6 ,-7.5 ,-6.4 ,-6.8 
A;GROWRT;EL64,0.9 ,0.8 ,3.1 ,4.2 ,3.6 ,0.0 ,-2.8 ,-1.6 ,-2.6 ,-3.5 ,-0.1 ,-0.2 
A;GROWRT;EL65,0.7 ,0.7 ,2.2 ,2.2 ,1.9 ,-0.9 ,-3.7 ,-2.9 ,-3.0 ,-4.1 ,-3.2 ,-4.2 
A;GROWRT;ES11,4.0 ,5.0 ,4.6 ,1.8 ,0.3 ,-0.5 ,-3.6 ,-5.4 ,-4.6 ,-5.3 ,-3.6 ,-2.6 
A;GROWRT;ES12,1.7 ,5.4 ,4.8 ,0.8 ,-1.1 ,-1.5 ,-6.1 ,-8.3 ,-8.6 ,-8.6 ,-6.4 ,-6.5 
A;GROWRT;ES13,12.7 ,15.8 ,12.7 ,6.6 ,4.0 ,2.6 ,-4.0 ,-4.0 ,-4.0 ,-4.9 ,-1.7 ,-0.3 
A;GROWRT;ES21,7.0 ,7.8 ,6.8 ,2.5 ,1.7 ,0.7 ,-3.5 ,-4.5 ,-1.0 ,-0.5 ,1.5 ,1.6 
A;GROWRT;ES22,17.9 ,22.8 ,17.0 ,9.1 ,6.4 ,4.6 ,-1.7 ,-3.9 ,-0.1 ,1.7 ,4.5 ,5.5 
A;GROWRT;ES23,17.7 ,25.9 ,11.3 ,0.5 ,2.9 ,0.3 ,-7.2 ,-10.8 ,-5.3 ,-2.4 ,-0.6 ,0.8 
A;GROWRT;ES24,16.1 ,23.8 ,13.0 ,1.0 ,0.2 ,-0.4 ,-4.1 ,-5.3 ,-3.7 ,-5.9 ,-1.9 ,-2.2 
A;GROWRT;ES30,20.2 ,24.6 ,16.2 ,7.2 ,3.2 ,4.9 ,-1.7 ,-5.7 ,1.1 ,6.1 ,8.1 ,11.2 
A;GROWRT;ES41,7.8 ,10.9 ,2.9 ,-0.7 ,-0.8 ,-3.0 ,-7.6 ,-9.1 ,-7.1 ,-9.6 ,-7.6 ,-7.2 
A;GROWRT;ES42,27.7 ,30.3 ,16.9 ,8.7 ,7.0 ,3.3 ,-5.5 ,-9.2 ,-6.0 ,-6.7 ,-3.9 ,-4.1 
A;GROWRT;ES43,6.4 ,7.2 ,4.6 ,4.5 ,2.4 ,1.8 ,-3.1 ,-4.1 ,-4.4 ,-6.1 ,-6.9 ,-6.6 
A;GROWRT;ES51,19.9 ,22.1 ,15.7 ,4.9 ,4.0 ,2.9 ,-4.5 ,-8.7 ,-2.6 ,1.5 ,4.4 ,6.4 
A;GROWRT;ES52,25.4 ,26.0 ,10.7 ,1.7 ,1.9 ,2.1 ,-4.5 ,-6.2 ,-3.4 ,-1.5 ,0.6 ,2.2 
A;GROWRT;ES53,35.3 ,36.8 ,25.8 ,12.5 ,7.3 ,8.3 ,8.5 ,5.1 ,8.1 ,9.3 ,13.5 ,13.8 
A;GROWRT;ES61,15.2 ,16.4 ,11.6 ,7.6 ,6.8 ,5.5 ,1.8 ,-0.5 ,1.3 ,0.5 ,0.6 ,0.1 
A;GROWRT;ES62,25.3 ,24.1 ,15.5 ,8.1 ,3.8 ,2.0 ,0.0 ,-0.1 ,1.3 ,1.8 ,4.4 ,1.7 
A;GROWRT;ES63,18.4 ,14.6 ,22.0 ,30.3 ,28.9 ,26.9 ,8.2 ,1.6 ,0.2 ,-0.5 ,4.5 ,2.1 
A;GROWRT;ES64,27.3 ,32.5 ,29.3 ,35.9 ,36.4 ,36.4 ,22.1 ,3.0 ,8.3 ,2.3 ,2.1 ,-2.8 
A;GROWRT;ES70,24.2 ,23.3 ,16.7 ,9.7 ,9.6 ,10.2 ,9.2 ,4.6 ,5.3 ,4.3 ,9.2 ,10.2 
A;GROWRT;FI19,3.5 ,4.2 ,3.7 ,4.1 ,3.6 ,3.8 ,3.7 ,2.9 ,2.1 ,1.3 ,1.1 ,-0.2 
A;GROWRT;FI1B,10.5 ,11.0 ,11.9 ,10.6 ,9.7 ,10.9 ,11.4 ,11.8 ,11.2 ,10.5 ,11.1 ,10.5 
A;GROWRT;FI1C,2.4 ,2.2 ,2.8 ,2.1 ,2.6 ,1.9 ,1.5 ,1.0 ,-0.2 ,-1.0 ,-1.1 ,-1.9 
A;GROWRT;FI1D,-1.2 ,-0.9 ,-0.4 ,0.7 ,0.8 ,1.1 ,0.5 ,0.5 ,-0.3 ,-1.5 ,-1.9 ,-4.2 
A;GROWRT;FI20,5.8 ,8.5 ,11.1 ,10.1 ,9.8 ,12.3 ,5.2 ,5.8 ,8.7 ,2.3 ,7.9 ,9.4 
A;GROWRT;FR10,5.7 ,5.2 ,5.9 ,4.9 ,5.6 ,3.8 ,5.1 p,5.6 ,4.5 ,2.9 ,2.9 ,2.6 
A;GROWRT;FR21,0.5 ,-1.1 ,0.0 ,-1.5 ,0.1 ,2.4 ,-0.2 p,0.2 ,-0.8 p,-1.3 p,-1.6 p,: 
A;GROWRT;FR22,3.2 ,3.3 ,2.4 ,1.9 ,1.7 ,2.2 ,2.5 p,1.5 ,1.0 p,0.8 p,0.2 p,: 
A;GROWRT;FR23,3.1 ,4.9 ,4.0 ,2.2 ,1.3 ,3.3 ,2.2 p,3.6 ,1.8 p,1.6 p,1.4 p,: 
A;GROWRT;FR24,2.9 ,1.8 ,2.8 ,3.7 ,3.4 ,2.6 ,2.7 p,2.7 ,0.4 p,0.8 p,0.7 p,: 
A;GROWRT;FR25,3.2 ,4.1 ,2.4 ,1.8 ,1.5 ,1.0 ,1.0 p,0.5 ,0.1 p,-0.5 p,-1.0 p,: 
A;GROWRT;FR26,3.1 ,2.9 ,2.3 ,-0.2 ,0.4 ,-1.0 ,0.9 p,-0.1 ,-0.8 p,-1.0 p,-1.4 p,: 
A;GROWRT;FR30,0.8 ,0.7 ,2.2 ,1.2 ,1.0 ,2.2 ,2.5 p,3.8 ,0.4 p,1.3 p,0.9 p,: 
A;GROWRT;FR41,1.8 ,2.8 ,1.6 ,0.3 ,-0.1 ,-0.4 ,-2.0 p,-1.2 ,-0.4 p,-2.2 p,-2.4 p,: 
A;GROWRT;FR42,6.5 ,5.4 ,3.2 ,1.4 ,3.6 ,4.1 ,4.5 p,2.5 ,3.4 p,2.6 p,2.5 p,: 
A;GROWRT;FR43,7.0 ,4.5 ,3.7 ,3.0 ,1.4 ,1.9 ,1.2 p,0.8 ,1.4 p,0.2 p,-0.1 p,: 
A;GROWRT;FR51,9.3 ,7.9 ,8.2 ,9.1 ,8.3 ,8.7 ,7.7 p,8.2 ,7.5 p,6.5 p,6.2 p,: 
A;GROWRT;FR52,8.3 ,9.4 ,8.0 ,7.5 ,5.8 ,6.0 ,6.7 p,5.5 ,5.3 p,4.7 p,4.2 p,: 
A;GROWRT;FR53,9.0 ,7.4 ,4.5 ,5.5 ,4.2 ,3.5 ,3.2 p,4.4 ,2.9 p,2.4 p,2.2 p,: 
A;GROWRT;FR61,9.9 ,8.4 ,8.9 ,8.1 ,6.7 ,9.7 ,9.4 p,7.9 ,8.1 p,7.6 p,7.6 p,: 
A;GROWRT;FR62,12.0 ,9.9 ,8.6 ,6.6 ,7.5 ,7.9 ,9.4 p,8.4 ,7.5 p,7.6 p,7.3 p,: 
A;GROWRT;FR63,8.3 ,5.1 ,1.4 ,1.3 ,-2.3 ,-3.3 ,-1.5 p,0.8 ,-0.1 p,-1.4 p,-1.5 p,: 
A;GROWRT;FR71,7.4 ,8.4 ,9.2 ,9.1 ,8.4 ,9.1 ,9.2 p,9.4 ,9.2 p,8.3 p,7.9 p,: 
A;GROWRT;FR72,2.5 ,2.0 ,1.6 ,2.5 ,2.4 ,2.5 ,2.6 p,2.1 ,2.6 p,1.5 p,1.0 p,: 
A;GROWRT;FR81,10.5 ,8.1 ,11.2 ,9.7 ,12.7 ,11.3 ,10.8 p,8.0 ,9.6 p,8.8 p,7.5 p,: 
A;GROWRT;FR82,10.1 ,3.9 ,1.3 ,2.1 ,3.4 ,4.0 ,3.7 p,6.0 ,4.5 p,3.7 p,3.9 p,: 
A;GROWRT;FR83,17.2 ,12.5 ,8.9 ,13.1 ,15.4 ,5.6 ,12.4 p,12.4 ,9.7 p,9.1 p,10.6 p,: 
A;GROWRT;FRA1,: ,: ,: ,: ,: ,: ,: ,-5.5 ,-6.4 p,-6.2 p,-5.8 p,: 
A;GROWRT;FRA2,0.0 ,-0.1 ,-3.2 ,-5.6 ,-4.8 ,-10.1 ,-7.3 p,-4.3 ,-9.1 p,-9.5 p,-8.7 p,: 
A;GROWRT;FRA3,33.8 ,28.8 ,23.5 ,20.2 ,36.5 ,8.8 ,18.5 p,33.1 ,19.7 p,19.9 p,27.1 p,: 
A;GROWRT;FRA4,15.4 ,17.7 ,10.0 ,5.8 ,9.0 ,6.5 ,1.4 p,9.1 ,5.0 p,4.7 p,5.6 p,: 
A;GROWRT;FRA5,: ,: ,: ,: ,: ,: ,: ,: ,: ,35.6 p,39.4 p,: 
A;GROWRT;FRB0,2.9 ,1.8 ,2.8 ,3.7 ,3.4 ,2.6 p,2.7 p,2.7 ,0.4 ,-0.3 ,-0.8 ,-1.7 
A;GROWRT;FRC1,3.1 ,2.9 ,2.3 ,-0.2 ,0.4 ,-1.0 p,0.9 p,-0.1 ,-0.8 ,-2.0 ,-2.9 ,-3.8 
A;GROWRT;FRC2,7.0 ,4.5 ,3.7 ,3.0 ,1.4 ,1.9 p,1.2 p,0.8 ,1.4 ,0.6 ,-0.8 ,-1.8 
A;GROWRT;FRD1,3.2 ,4.1 ,2.4 ,1.8 ,1.5 ,1.0 p,1.0 p,0.5 ,0.1 ,-1.4 ,-2.3 ,-3.1 
A;GROWRT;FRD2,3.1 ,4.9 ,4.0 ,2.2 ,1.3 ,3.3 p,2.2 p,3.6 ,1.8 ,-0.6 ,0.1 ,-0.8 
A;GROWRT;FRE1,0.8 ,0.7 ,2.2 ,1.2 ,1.0 ,2.2 p,2.5 p,3.8 ,0.4 ,-0.8 ,-0.8 ,-1.6 
A;GROWRT;FRE2,3.2 ,3.3 ,2.4 ,1.9 ,1.7 ,2.2 p,2.5 p,1.5 ,1.0 ,0.2 ,-1.1 ,-1.6 
A;GROWRT;FRF1,6.5 ,5.4 ,3.2 ,1.4 ,3.6 ,4.1 p,4.5 p,2.5 ,3.4 ,2.6 ,1.3 ,0.6 
A;GROWRT;FRF2,0.5 ,-1.1 ,0.0 ,-1.5 ,0.1 ,2.4 p,-0.2 p,0.2 ,-0.8 ,-3.7 ,-3.3 ,-4.5 
A;GROWRT;FRF3,1.8 ,2.8 ,1.6 ,0.3 ,-0.1 ,-0.4 p,-2.0 p,-1.2 ,-0.4 ,-1.6 ,-2.8 ,-3.5 
A;GROWRT;FRG0,9.3 ,7.9 ,8.2 ,9.1 ,8.3 ,8.7 p,7.7 p,8.2 ,7.5 ,5.1 ,4.9 ,4.1 
A;GROWRT;FRH0,8.3 ,9.4 ,8.0 ,7.5 ,5.8 ,6.0 p,6.7 p,5.5 ,5.3 ,3.8 ,2.8 ,2.2 
A;GROWRT;FRI1,9.9 ,8.4 ,8.9 ,8.1 ,6.7 ,9.7 p,9.4 p,7.9 ,8.1 ,6.7 ,6.1 ,5.2 
A;GROWRT;FRI2,8.3 ,5.1 ,1.4 ,1.3 ,-2.3 ,-3.3 p,-1.5 p,0.8 ,-0.1 ,-2.7 ,-2.3 ,-2.8 
A;GROWRT;FRI3,9.0 ,7.4 ,4.5 ,5.5 ,4.2 ,3.5 p,3.2 p,4.4 ,2.9 ,1.9 ,1.3 ,0.2 
A;GROWRT;FRJ1,10.5 ,8.1 ,11.2 ,9.7 ,12.7 ,11.3 p,10.8 p,8.0 ,7.6 ,7.4 ,5.8 ,5.1 
A;GROWRT;FRJ2,12.0 ,9.9 ,8.6 ,6.6 ,7.5 ,7.9 p,9.4 p,8.4 ,7.5 ,4.5 ,5.1 ,4.3 
A;GROWRT;FRK1,2.5 ,2.0 ,1.6 ,2.5 ,2.4 ,2.5 p,2.6 p,2.1 ,1.4 ,0.8 ,-0.3 ,-1.1 
A;GROWRT;FRK2,7.4 ,8.4 ,9.2 ,9.1 ,8.4 ,9.1 p,9.2 p,9.4 ,8.5 ,5.8 ,6.2 ,5.5 
A;GROWRT;FRL0,10.1 ,3.9 ,1.3 ,2.1 ,3.4 ,4.0 p,3.7 p,6.0 ,4.9 ,2.8 ,2.9 ,2.4 
A;GROWRT;FRM0,17.2 ,12.5 ,8.9 ,13.1 ,15.4 ,5.6 p,12.4 p,12.4 ,9.4 ,9.6 ,9.3 ,8.7 
A;GROWRT;FRY1,: ,: ,: ,: ,: ,: ,: ,-5.5 ,-3.7 ,-8.8 ,-8.0 ,-9.8 
A;GROWRT;FRY2,0.0 ,-0.1 ,-3.2 ,-5.6 ,-4.8 ,-10.1 p,-7.3 p,-4.3 ,-7.9 ,-11.6 ,-10.2 ,-10.9 
A;GROWRT;FRY3,33.8 ,28.8 ,23.5 ,20.2 ,36.5 ,8.8 p,18.5 p,33.1 ,29.4 ,35.9 ,32.2 ,33.0 
A;GROWRT;FRY4,15.4 ,17.7 ,10.0 ,5.8 ,9.0 ,6.5 p,1.4 p,9.1 ,9.4 ,2.6 ,5.7 ,5.2 
A;GROWRT;FRY5,: ,: ,: ,: ,: ,: ,: ,: ,37.2 ,37.2 ,39.1 ,38.2 
A;GROWRT;HR03,5.1 ,3.6 ,2.1 ,0.7 ,-1.8 ,-2.0 ,-2.0 ,-1.3 ,-2.6 ,-5.7 ,-5.0 ,-6.5 
A;GROWRT;HR04,-2.1 ,-2.3 ,-1.8 ,-2.7 ,-3.6 ,-3.8 ,-3.9 ,-4.7 ,-6.3 ,-9.5 ,-10.6 ,-14.5 
